City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
208,Ponta Do Sol,PT,32.6667,-17.1,68.63,56,18,4.59,few clouds
209,Honavar,IN,14.2833,74.45,79.59,84,100,13.24,overcast clouds
210,Yulara,AU,-25.2406,130.9889,47.88,68,0,13.4,clear sky
211,Gamboma,CG,-1.8764,15.8644,77.36,64,30,2.21,scattered clouds
212,Stromness,GB,58.965,-3.296,55.36,86,56,21.0,broken clouds
213,Longyearbyen,SJ,78.2186,15.6401,42.64,75,75,11.5,broken clouds
214,Evensk,RU,61.95,159.2333,50.68,86,100,3.96,overcast clouds
215,Camana,PE,-16.6228,-72.7111,64.0,79,36,5.01,scattered clouds
216,Toora-Khem,RU,52.4675,96.11,56.05,58,0,2.26,clear sky
217,Vung Tau,VN,10.346,107.0843,81.27,79,31,2.64,scattered clouds
218,Laem Sing,TH,12.4816,102.0738,84.15,100,100,4.63,overcast clouds
219,Souillac,MU,-20.5167,57.5167,66.58,72,20,4.61,few clouds
220,Parrita,CR,9.5201,-84.3225,77.85,87,93,2.55,overcast clouds
221,Havelock,US,34.8791,-76.9013,87.98,65,75,9.22,broken clouds
222,Waipawa,NZ,-41.4122,175.5153,45.25,86,1,4.94,clear sky
223,Moree,AU,-29.4667,149.85,47.01,80,0,8.86,clear sky
224,Derzhavinsk,KZ,51.1,66.3167,60.3,66,64,7.27,broken clouds
225,Kavieng,PG,-2.5744,150.7967,83.07,74,94,17.85,overcast clouds
226,Zhanakorgan,KZ,43.9098,67.2495,86.72,19,0,7.58,clear sky
227,Halifax,CA,44.6453,-63.5724,76.89,87,3,14.97,clear sky
228,Port-Gentil,GA,-0.7193,8.7815,73.36,88,20,9.22,few clouds
229,Linfen,CN,36.0889,111.5189,75.63,67,100,6.31,overcast clouds
230,San Andres Del Rabanedo,ES,42.6117,-5.6167,52.52,66,0,8.05,clear sky
231,Tual,ID,-5.6667,132.75,78.3,88,100,21.63,moderate rain
232,Chuy,UY,-33.6971,-53.4616,46.98,74,100,5.73,overcast clouds
233,Lixourion,GR,38.2019,20.4314,77.36,75,0,11.52,clear sky
234,Didi Lilo,GE,41.7361,44.9647,60.58,77,0,23.02,clear sky
235,Leh,IN,34.1667,77.5833,61.59,32,0,5.32,clear sky
236,Sandi,IN,27.3,79.95,91.9,50,99,12.53,overcast clouds
237,Pevek,RU,69.7008,170.3133,32.52,88,46,8.48,scattered clouds
238,Baykit,RU,61.67,96.37,58.3,90,99,1.99,overcast clouds
239,Rawson,AR,-43.3002,-65.1023,49.23,49,0,13.2,clear sky
240,Svetlogorsk,BY,52.6333,29.7333,69.82,67,69,4.52,broken clouds
241,Kruisfontein,ZA,-34.0033,24.7314,48.9,58,28,3.94,scattered clouds
242,Dunedin,NZ,-45.8742,170.5036,49.8,61,100,1.99,light rain
243,Port-Cartier,CA,50.0334,-66.8654,68.22,65,63,7.52,broken clouds
244,Mishkino,RU,55.3389,63.9175,48.2,86,99,12.82,overcast clouds
245,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,30,0,16.11,clear sky
246,Kahului,US,20.8947,-156.47,84.22,61,20,19.57,few clouds
247,Oktyabrskoye,RU,43.0645,44.7417,62.74,93,100,4.47,light rain
248,Bijie,CN,27.3125,105.2942,65.73,97,100,3.04,overcast clouds
249,Rabo De Peixe,PT,37.8,-25.5833,69.28,79,75,4.61,broken clouds
250,Meulaboh,ID,4.1363,96.1285,76.05,86,100,4.54,overcast clouds
251,Chaohu,CN,31.6,117.8667,82.98,69,99,14.63,overcast clouds
252,Kankan,GN,10.3854,-9.3057,74.71,88,89,5.14,moderate rain
253,San Angelo,US,31.4638,-100.437,98.94,16,0,12.66,clear sky
254,Hanzhong,CN,33.0728,107.0303,66.9,90,97,2.15,overcast clouds
255,Kupang,ID,-10.1667,123.5833,75.56,84,91,13.09,overcast clouds
256,Sioux Lookout,CA,50.1001,-91.917,50.07,87,100,21.85,overcast clouds
257,Purna,IN,19.1833,77.05,77.95,79,98,10.56,overcast clouds
258,Ust-Nera,RU,64.5667,143.2,71.89,52,48,7.72,scattered clouds
259,Arvika,SE,59.6553,12.5852,68.61,86,61,1.66,broken clouds
260,Cabo Rojo,PR,18.0866,-67.1457,88.72,67,47,5.01,scattered clouds
261,Grand Baie,MU,-20.0182,57.5802,66.67,69,2,3.0,clear sky
262,Bluff,NZ,-46.6,168.3333,48.79,68,100,15.93,light rain
263,Price,US,39.5994,-110.8107,80.71,25,45,14.43,scattered clouds
264,Erenhot,CN,43.6475,111.9767,63.39,79,100,10.13,light rain
265,Karratha,AU,-20.7377,116.8463,64.96,37,0,15.57,clear sky
266,Nome,US,64.5011,-165.4064,52.16,98,100,14.5,light rain
267,Ilulissat,GL,69.2167,-51.1,38.73,88,76,4.25,broken clouds
268,Caravelas,BR,-17.7125,-39.2481,72.37,75,87,15.14,overcast clouds
269,Lorengau,PG,-2.0226,147.2712,81.36,80,99,13.24,overcast clouds
270,Pakokku,MM,21.3333,95.1,85.03,65,100,14.74,overcast clouds
271,Kalur Kot,PK,32.1564,71.2594,97.52,17,0,1.19,clear sky
272,Antofagasta,CL,-23.65,-70.4,60.08,67,100,6.96,overcast clouds
273,Yerbogachen,RU,61.2767,108.0108,57.99,97,35,6.58,scattered clouds
274,Daru,PG,-9.0763,143.2092,78.46,90,100,13.78,overcast clouds
275,Naze,JP,28.3667,129.4833,77.92,91,99,11.92,overcast clouds
276,Tinskoy,RU,56.1525,96.9161,63.5,90,6,5.68,clear sky
277,Acapulco,MX,16.8634,-99.8901,85.73,68,96,11.05,overcast clouds
278,Hervey Bay,AU,-25.2986,152.8535,63.63,78,100,9.19,overcast clouds
279,Port Lincoln,AU,-34.7333,135.8667,51.44,71,10,4.47,clear sky
280,Cajamarca,PE,-7.1638,-78.5003,68.07,34,40,5.75,scattered clouds
