City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Jamame,SO,2022-06-19 18:20:28,0.0722,42.7506,76.48,81,76,9.78
124,Hamilton,US,2022-06-19 18:19:24,39.1834,-84.5333,77.99,36,0,6.91
125,Qaqortoq,GL,2022-06-19 18:20:29,60.7167,-46.0333,40.68,98,100,8.79
126,Bara,NG,2022-06-19 18:20:29,10.3744,10.7288,89.51,38,36,7.52
127,Noumea,NC,2022-06-19 18:20:29,-22.2763,166.4572,71.01,99,73,10.51
128,Bilma,NE,2022-06-19 18:20:30,18.6853,12.9164,96.64,8,0,8.9
129,Sabang,ID,2022-06-19 18:20:30,5.8933,95.3214,82.99,74,94,3.0
130,El Sauzal,MX,2022-06-19 18:20:30,31.9,-116.6833,71.42,70,0,9.37
131,Esperance,AU,2022-06-19 18:20:31,-33.8667,121.9,49.84,78,93,9.93
132,Witu,KE,2022-06-19 18:20:31,-2.3889,40.4382,78.96,79,71,13.13
133,Sambava,MG,2022-06-19 18:20:32,-14.2667,50.1667,72.12,86,22,11.12
134,Torbay,CA,2022-06-19 18:21:32,47.6666,-52.7314,70.57,78,75,21.85
135,Borovsk,RU,2022-06-19 18:21:32,55.2064,36.4861,66.4,60,97,14.76
136,Natal,BR,2022-06-19 18:18:37,-5.795,-35.2094,86.22,66,40,16.11
137,Ambovombe,MG,2022-06-19 18:21:32,-25.1667,46.0833,66.15,77,31,16.67
138,Bastos,BR,2022-06-19 18:21:33,-21.9219,-50.7339,76.24,41,12,4.05
139,Coihaique,CL,2022-06-19 18:21:00,-45.5752,-72.0662,42.75,52,0,3.44
140,Rincon,US,2022-06-19 18:18:46,32.296,-81.2354,88.86,49,40,9.22
141,Prachin Buri,TH,2022-06-19 18:21:33,14.0833,101.6667,78.46,85,86,1.01
142,Mar Del Plata,AR,2022-06-19 18:20:33,-38.0023,-57.5575,55.09,62,75,14.97
143,Werda,BW,2022-06-19 18:21:34,-25.2667,23.2833,64.4,29,0,10.22
144,Tilichiki,RU,2022-06-19 18:21:34,60.4667,166.1,43.03,95,100,2.75
145,Yuci,CN,2022-06-19 18:21:34,37.6803,112.7319,74.95,64,0,6.71
146,Lesnikovo,RU,2022-06-19 18:21:35,55.2822,65.3175,61.47,94,66,1.81
147,Kataysk,RU,2022-06-19 18:21:35,56.289,62.5841,62.8,71,53,5.03
148,Beira,MZ,2022-06-19 18:21:35,-19.8436,34.8389,68.09,83,0,6.91
149,Nokaneng,BW,2022-06-19 18:21:36,-19.6667,22.2667,65.82,29,0,7.65
150,Antalaha,MG,2022-06-19 18:21:36,-14.9003,50.2788,69.82,90,39,7.31
151,Aripuana,BR,2022-06-19 18:21:36,-9.1667,-60.6333,92.3,34,80,3.62
152,Itaqui,BR,2022-06-19 18:21:36,-29.1253,-56.5531,59.31,54,0,4.68
153,Vidim,RU,2022-06-19 18:21:37,56.4088,103.1106,55.56,84,92,2.68
154,Kavaratti,IN,2022-06-19 18:21:37,10.5669,72.642,82.31,79,70,14.5
155,Kiama,AU,2022-06-19 18:21:38,-34.6833,150.8667,57.0,94,100,3.0
