City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Ust-Nera,RU,71.89,scattered clouds,64.5667,143.2,Hotel Ust-Nera
260,Cabo Rojo,PR,88.72,scattered clouds,18.0866,-67.1457,Hotel Perichi's
263,Price,US,80.71,scattered clouds,39.5994,-110.8107,National 9 - Price River Inn
268,Caravelas,BR,72.37,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
269,Lorengau,PG,81.36,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
270,Pakokku,MM,85.03,overcast clouds,21.3333,95.1,Royal Palace Motel
274,Daru,PG,78.46,overcast clouds,-9.0763,143.2092,Daru Lodge
275,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
277,Acapulco,MX,85.73,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
281,Petkovci,BA,70.38,clear sky,44.4531,19.0761,Gostionica Lazić
286,Gryfino,PL,77.32,broken clouds,53.2524,14.4883,Ryś
287,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
289,Jacareacanga,BR,84.72,broken clouds,-6.2222,-57.7528,Casa do Ian😎
290,Boca Do Acre,BR,87.39,few clouds,-8.7522,-67.3978,Hotel Sao Pedro
291,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
292,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
294,Karpathos,GR,75.16,clear sky,35.507,27.2132,Alex
295,Aichach,DE,72.45,light rain,48.4576,11.1341,Drei Bären Inn
297,Japura,ID,73.58,broken clouds,-0.3167,102.35,Rumah mbah Jamah
299,Nishihara,JP,82.06,broken clouds,26.1842,127.7558,Minshuku Agaihama
302,Sabzevar,IR,88.88,scattered clouds,36.2126,57.6819,پزشکی قانونی سبزوار
303,Kuryk,KZ,82.29,light rain,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
304,Sandakan,MY,78.48,few clouds,5.8402,118.1179,Hotel Sandakan
306,Labuhan,ID,75.79,overcast clouds,-6.8844,112.2051,DoubleFAG
307,Cairns,AU,73.06,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
308,Pyinmana,MM,75.38,overcast clouds,19.7333,96.2167,Anh Mai Daung
309,La Ronge,CA,79.05,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
311,Cabo San Lucas,MX,81.05,overcast clouds,22.8909,-109.9124,Vista Roof Restaurant
314,Segamat,MY,74.64,broken clouds,2.5148,102.8158,VIP HOTEL
317,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
320,Tateyama,JP,77.09,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
322,Gouyave,GD,79.57,broken clouds,12.1646,-61.7296,Rumboat Retreat
323,Bismarck,US,74.64,scattered clouds,46.8083,-100.7837,Bismarck Hotel and Conference Center
324,Tautira,PF,78.46,light rain,-17.7333,-149.15,Pension Oaoa
326,Alvorada,BR,81.28,few clouds,-12.48,-49.1247,Cristal Plaza Hotel
329,Kloulklubed,PW,83.19,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
331,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
332,Mastic,US,85.1,clear sky,40.802,-72.8409,Southaven County Park Campground
333,Hasaki,JP,73.8,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
334,Mattru,SL,75.02,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
335,Coahuayana,MX,86.54,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
339,Sao Raimundo Nonato,BR,79.29,light rain,-9.0153,-42.6994,Real Hotel
340,Haines Junction,CA,73.35,scattered clouds,60.7522,-137.5108,Parkside Inn
341,Hobyo,SO,79.05,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
342,Pitimbu,BR,81.19,clear sky,-7.4706,-34.8086,Reserva do Abiaí
344,Faanui,PF,80.04,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
348,Tura,IN,73.74,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
349,Veraval,IN,83.5,overcast clouds,20.9,70.3667,Lords Inn Somnath
350,Naliya,IN,83.68,moderate rain,23.2667,68.8333,jadeja jayendrasinh
354,Tlacotepec,MX,72.79,broken clouds,20.0667,-97.8667,RANCHO LA ILUSION
355,Dingle,PH,77.63,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
359,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
361,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
364,Claveria,PH,79.21,overcast clouds,18.6074,121.0832,Casa Grand Inn By The Sea
367,Puerto Carreno,CO,84.18,few clouds,6.189,-67.4859,Casa Hotel Victoria
368,Bose,IT,72.99,scattered clouds,45.4612,8.0137,Locanda Borgo Antico
369,Fort-Shevchenko,KZ,83.88,broken clouds,44.5086,50.263,Oasis hotel Bautino
371,Kaseda,JP,76.78,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
373,Yumen,CN,71.69,broken clouds,40.2833,97.2,
375,Yazd,IR,87.91,clear sky,31.8972,54.3675,Mozaffar Traditional Hotel
377,Feldbach,AT,72.01,scattered clouds,46.9531,15.8883,Pfeiler's Bürgerstüberl - Hotel
379,Zhangzhou,CN,78.73,overcast clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
381,Macas,EC,74.95,broken clouds,-2.3167,-78.1167,Casa Upano
382,Nassau,US,89.19,broken clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
383,Milas,TR,76.35,clear sky,37.3164,27.7839,Milashan Hotel
384,College,US,79.59,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
385,Mecca,SA,89.83,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
386,Itacoatiara,BR,83.14,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
387,Lethem,GY,81.55,overcast clouds,3.3803,-59.7968,Savannah Inn
388,Le Mars,US,80.37,clear sky,42.7942,-96.1656,"Holiday Inn Express & Suites Le Mars, an IHG Hotel"
393,Gourcy,BF,88.21,light rain,13.2167,-2.35,Auberge Gourcy
395,Panacan,PH,80.28,moderate rain,9.2463,118.4082,Mom's Place Resort
397,Canutama,BR,88.07,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
398,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
399,Shimoda,JP,80.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
